0	-60	0.04705
0.1	-60	0.04203
0.2	-60	0.03752
0.3	-60	0.03346
0.4	-60	0.02983
0.5	-60	0.02657
0.6	-60	0.02365
0.7	-60	0.02103
0.8	-60	0.0187
0.9	-60	0.01661
1	-60	0.01474
1.1	-60	0.01307
1.2	-60	0.01159
1.3	-60	0.01026
1.4	-60	0.00908
1.5	-60	0.00802
1.6	-60	0.00708
1.7	-60	0.00625
1.8	-60	0.0055
1.9	-60	0.00484
2	-60	0.00426
0	-50	0.50844
0.1	-50	0.48522
0.2	-50	0.46106
0.3	-50	0.43618
0.4	-50	0.4108
0.5	-50	0.38515
0.6	-50	0.35948
0.7	-50	0.33401
0.8	-50	0.30897
0.9	-50	0.28455
1	-50	0.26095
1.1	-50	0.23831
1.2	-50	0.21675
1.3	-50	0.19637
1.4	-50	0.17724
1.5	-50	0.15939
1.6	-50	0.14283
1.7	-50	0.12756
1.8	-50	0.11354
1.9	-50	0.10074
2	-50	0.0891
0	-40	2.17282
0.1	-40	2.20236
0.2	-40	2.20569
0.3	-40	2.17064
0.4	-40	2.08543
0.5	-40	1.94286
0.6	-40	1.74511
0.7	-40	1.50626
0.8	-40	1.24947
0.9	-40	0.99954
1	-40	0.77543
1.1	-40	0.5869
1.2	-40	0.4356
1.3	-40	0.3182
1.4	-40	0.22921
1.5	-40	0.16291
1.6	-40	0.11416
1.7	-40	0.07874
1.8	-40	0.05333
1.9	-40	0.03538
2	-40	0.02297
0	-30	4.33835
0.1	-30	4.81497
0.2	-30	5.31426
0.3	-30	5.63017
0.4	-30	5.39512
0.5	-30	4.44999
0.6	-30	3.17596
0.7	-30	2.04007
0.8	-30	1.22409
0.9	-30	0.70434
1	-30	0.39386
1.1	-30	0.21457
1.2	-30	0.11343
1.3	-30	0.05801
1.4	-30	0.02915
1.5	-30	0.01569
1.6	-30	0.01107
1.7	-30	0.01142
1.8	-30	0.01446
1.9	-30	0.01883
2	-30	0.02371
0	-20	5.32747
0.1	-20	6.31733
0.2	-20	7.67872
0.3	-20	9.17537
0.4	-20	9.57068
0.5	-20	7.50326
0.6	-20	4.37055
0.7	-20	2.1429
0.8	-20	0.98738
0.9	-20	0.44233
1	-20	0.18935
1.1	-20	0.07343
1.2	-20	0.02313
1.3	-20	0.00486
1.4	-20	0.00228
1.5	-20	0.00719
1.6	-20	0.01535
1.7	-20	0.02457
1.8	-20	0.03373
1.9	-20	0.04226
2	-20	0.04992
0	-10	6.53702
0.1	-10	8.40444
0.2	-10	11.72318
0.3	-10	16.10185
0.4	-10	14.70545
0.5	-10	7.90679
0.6	-10	3.23343
0.7	-10	1.27915
0.8	-10	0.51187
0.9	-10	0.20176
1	-10	0.07527
1.1	-10	0.02691
1.2	-10	0.01306
1.3	-10	0.0145
1.4	-10	0.02238
1.5	-10	0.03248
1.6	-10	0.04281
1.7	-10	0.05244
1.8	-10	0.06099
1.9	-10	0.06837
2	-10	0.07458
0	0	7.22861
0.1	0	9.70939
0.2	0	14.74109
0.3	0	23.18699
0.4	0	19.22239
0.5	0	8.85274
0.6	0	2.9963
0.7	0	0.97281
0.8	0	0.31889
0.9	0	0.09491
1	0	0.02075
1.1	0	0.00325
1.2	0	0.00763
1.3	0	0.01985
1.4	0	0.03397
1.5	0	0.04751
1.6	0	0.05949
1.7	0	0.06963
1.8	0	0.07797
1.9	0	0.08465
2	0	0.08988

